"","YEAR","PRIMARY_SAMPLE_UNIT","lat","lon"
"522",2024,"8081",25.52278,-80.10465
"523",2024,"8082",25.49061,-80.10863
"524",2024,"8083",25.48272,-80.109
"525",2024,"8084",25.21942,-80.21101
"526",2024,"8085",25.48701,-80.10976
"527",2024,"8086",25.33343,-80.17997
"528",2024,"8087",25.20901,-80.21861
"529",2024,"8088",25.56832,-80.10064
"530",2024,"8089",25.21174,-80.2176
"531",2024,"8090",24.4596,-81.84245
"532",2024,"8091",24.45868,-81.84397
"533",2024,"8092",24.45869,-81.84345
"534",2024,"8093",25.30497,-80.15913
"535",2024,"8094",24.54362,-81.40951
"536",2024,"8095",25.30242,-80.16156
"537",2024,"8096",24.54683,-81.40079
"538",2024,"8097",24.5459,-81.40217
"539",2024,"8098",24.5464,-81.4017
"540",2024,"8099",24.62624,-81.108
"541",2024,"8100",24.61459,-81.39289
"542",2024,"8101",25.51177,-80.10557
"543",2024,"8102",24.61458,-81.37965
"544",2024,"8103",25.43431,-80.12064
"545",2024,"8104",24.61401,-81.39243
"546",2024,"8105",25.44925,-80.11423
"547",2024,"8106",25.49707,-80.10481
"548",2024,"8107",25.45473,-80.11323
"549",2024,"8108",25.37216,-80.13615
"550",2024,"8109",25.51824,-80.10063
"551",2024,"8110",24.89771,-80.61798
"552",2024,"8111",25.46979,-80.10949
"553",2024,"8112",25.37129,-80.13659
"554",2024,"8113",25.46427,-80.12411
"555",2024,"8114",24.89637,-80.61949
"556",2024,"8115",24.90454,-80.6155
"557",2024,"8116",24.90404,-80.61802
"558",2024,"8117",25.49435,-80.10355
"559",2024,"8118",25.49163,-80.1043
"560",2024,"8119",25.49237,-80.10422
"561",2024,"8120",25.49324,-80.10435
"562",2024,"8121",25.21311,-80.21904
"563",2024,"8122",25.48234,-80.10546
"564",2024,"8123",25.20939,-80.21904
"565",2024,"8124",25.50106,-80.1016
"566",2024,"8125",25.5457,-80.09423
"567",2024,"8126",25.14037,-80.29441
"568",2024,"8127",25.57585,-80.09176
"569",2024,"8128",25.45254,-80.11256
"570",2024,"8129",25.53994,-80.09484
"571",2024,"8130",25.51672,-80.09722
"572",2024,"8131",25.22479,-80.21002
"573",2024,"8132",25.62968,-80.09006
"574",2024,"8136",25.22032,-80.212
"575",2024,"8145",25.22347,-80.20999
"576",2024,"8146",25.22524,-80.20905
"577",2024,"8147",25.22431,-80.20905
"578",2024,"8149",25.21217,-80.21798
"579",2024,"8152",25.20799,-80.21998
"580",2024,"8153",24.45962,-81.84538
"581",2024,"8155",24.46233,-81.84191
"582",2024,"8157",24.54681,-81.40363
"583",2024,"8173",24.54539,-81.40465
"584",2024,"8174",24.62586,-81.10898
"585",2024,"8176",25.21811,-80.21398
"586",2024,"8181",25.21718,-80.21355
"587",2024,"8183",25.21898,-80.21147
"588",2024,"8185",25.21314,-80.21699
"589",2024,"8186",25.20634,-80.22202
"590",2024,"8189",25.21715,-80.21656
"591",2024,"8191",24.46193,-81.84039
"592",2024,"8192",24.46016,-81.84087
"593",2024,"8195",24.54626,-81.40404
"594",2024,"8200",24.61463,-81.38071
"595",2024,"8202",24.6178,-81.38006
"596",2024,"8211",24.61518,-81.38414
"597",2024,"8238",25.20727,-80.22203
"598",2024,"8240",25.20908,-80.21947
"599",2024,"8246",25.13897,-80.29486
"600",2024,"8252",25.13993,-80.29438
"601",2024,"8253",25.22665,-80.2115
"602",2024,"8283",24.46341,-81.84234
"603",2024,"8284",24.46326,-81.84143
"604",2024,"8297",25.22438,-80.21108
"605",2024,"8298",25.22164,-80.21049
"606",2024,"8302",25.22301,-80.21003
"607",2024,"8305",25.22076,-80.21102
"608",2024,"8306",25.22571,-80.20854
"609",2024,"8312",25.21085,-80.21849
"610",2024,"8313",25.21043,-80.2185
"611",2024,"8325",24.62588,-81.11142
"612",2024,"8326",24.62629,-81.10989
"613",2024,"8329",25.21948,-80.21648
"614",2024,"8356",24.4592,-81.84196
"615",2024,"8358",24.54621,-81.39961
"616",2024,"8367",25.21803,-80.21352
"617",2024,"8382",25.22302,-80.209
"618",2024,"8386",25.20672,-80.22055
"619",2024,"8388",25.21357,-80.21605
"620",2024,"8389",25.20716,-80.22058
"621",2024,"8391",25.20681,-80.22109
"622",2024,"8392",25.20813,-80.2196
"623",2024,"3001",26.72276,-80.02931
"624",2024,"3004",27.1612,-80.1504
"625",2024,"3006",26.71763,-80.0297
"626",2024,"3008",27.11544,-80.12299
"627",2024,"3009",27.11145,-80.13362
"628",2024,"3010",27.14622,-80.13689
"629",2024,"3011",27.15846,-80.14436
"630",2024,"3012",26.94071,-80.03157
"631",2024,"3013",26.96538,-80.03228
"632",2024,"3014",26.72505,-80.01681
"633",2024,"3015",26.86834,-80.0174
"634",2024,"3016",27.02253,-80.06475
"635",2024,"3017",27.00674,-80.06639
"636",2024,"3018",27.0054,-80.06741
"637",2024,"3019",27.01396,-80.06583
"638",2024,"3020",27.02524,-80.06473
"639",2024,"3021",27.02298,-80.06474
"640",2024,"3023",26.8361,-80.01176
"641",2024,"3024",27.05534,-80.0428
"642",2024,"3025",26.9985,-80.02555
"643",2024,"3026",27.00902,-80.06889
"644",2024,"3027",26.99228,-80.02477
"645",2024,"3028",26.80498,-80.01097
"646",2024,"3029",26.91941,-80.03631
"647",2024,"3030",26.95575,-80.0114
"648",2024,"3031",26.86302,-79.99618
"649",2024,"3032",26.96753,-80.00424
"650",2024,"3033",26.8799,-79.99496
"651",2024,"3034",26.84751,-79.99739
"652",2024,"3035",26.84917,-79.99862
"653",2024,"3036",26.75891,-80.00437
"654",2024,"3037",26.85149,-80.00089
"655",2024,"3038",26.91466,-80.00511
"656",2024,"3039",26.74302,-80.00866
"657",2024,"3040",26.89881,-80.03273
